id,name,shortname,strasse,bezirk,plz_ort,von,bis,oeffnungszeiten,Mo,Di,Mi,Do,Fr,Sa,So,closed-exc,hours-exc,w3,bemerkungen,bemerkungen_en,lat,lng,ignore,immer-kostenlos,international,barrierefrei,action,short_distance,train,image,urheberschaft
34,Rudower Weihnachtsmeile,Rudower Weihnachtsmeile,Alt Rudow & Krokusstraße,Neukölln,12357 Berlin,20.12.25,21.12.25,"Samstag: 12:00 - 22:00 Uhr
Sonntag: 12:00 - 20:00 Uhr",0,0,0,0,0,12:00 - 22:00,12:00 - 20:00,0,0,https://www.hauptstadtkultur.berlin/rudower-weihnachtsmeile-1/,"Die AG Rudow lädt zur traditionellen Rudower Weihnachtsmeile ein. Am 21. und 22. Dezember verwandeln sich die Straßen Alt Rudow und Krokusstraße in ein stimmungsvolles Weihnachtsdorf voller Musik, Unterhaltung und kulinarischer Highlights. Besucherinnen und Besucher können sich auf eine Vielzahl an Programmpunkten freuen, die für die perfekte Einstimmung auf die Feiertage sorgen. Die Rudower Weihnachtsmeile bietet an beiden Tagen ein vielseitiges Bühnenprogramm, das Jung und Alt gleichermaßen begeistert. Neben liebevoll dekorierten Ständen, die alles von handgefertigtem Kunsthandwerk bis zu weihnachtlichen Spezialitäten bieten, finden sich zahlreiche Attraktionen für Groß und Klein. Wärmender Glühwein und süße Köstlichkeiten wie gebrannte Mandeln, frische Waffeln und knackige Bratwürste sorgen für das leibliche Wohl. Ein nostalgisches Karussell und weitere Spielgeschäfte bieten Abwechslung und Spaß für die jüngsten Gäste. Der traditionelle Glühwein-Treff ist der perfekte Ort für Familien, Freunde und Nachbarn, die die Weihnachtszeit gemeinsam genießen möchten. Der Eintritt ist frei! Hinweis zur Barrierefreiheit: Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert.","The Rudow Working Group invites you to the traditional Rudow Christmas Mile. On December 21 and 22, Alt Rudow and Krokusstraße streets will be transformed into an atmospheric Christmas village full of music, entertainment, and culinary highlights. Visitors can look forward to a variety of program items that will get them in the perfect mood for the holidays. On both days, the Rudow Christmas Mile offers a varied stage program that will delight young and old alike. In addition to lovingly decorated stands offering everything from handmade crafts to Christmas specialties, there are numerous attractions for young and old. Warming mulled wine and sweet treats such as roasted almonds, fresh waffles, and crispy bratwurst will keep you well fed. A nostalgic carousel and other game stalls offer variety and fun for the youngest guests. The traditional mulled wine gathering is the perfect place for families, friends, and neighbors who want to enjoy the Christmas season together. Admission is free! Barrier-free toilets are available, and cables and hoses are secured with bridges.",52.4192,13.4936,0,1,0,1,1,0,,Weihnachtsmarkt_Rudow.jpg,Lisa S.
37,Adventsbasar im Lübarser Pfarrgarten - mit Bläsermusik und Adventssingen,Adventsbasar im Lübarser Pfarrgarten - mit Bläsermusik und Adventssingen,Alt-Lübars 24,Reinickendorf,13469 Berlin,30.11.25,30.11.25,12:00 - 17:00 Uhr,0,0,0,0,0,0,12:00 - 17:00,0,0,https://www.noomi-evangelisch.de/,Der Pfarrgarten ist barrierefrei zugänglich. Bitte öffentliche Verkehrsmittel nutzen. Es stehen nur sehr begrenzt Parkplätze zur Verfügung. Bitte unbedingt die Parkverbote beachten!,The parish garden is wheelchair accessible. Please use public transportation. Parking spaces are very limited. Please observe the parking restrictions!,52.6212,13.3566,0,1,0,1,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
40,Weihnachten an der Spree,Weihnachten an der Spree,Stralauer Allee 2,Friedrichshain,10245 Berlin,17.11.25,30.12.25,17-22 Uhr,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,0,0,https://www.weihnachten-an-der-spree.de/,"All Inklusive Weihnachtsmarkt - alle Speisen / Getränke sind im Eintrittspreis enthalten. Exklusiver Weihnachtsmarktbesuch mit einzigartigem Blick auf die Oberbaumbrücke. Bier, Wein, Sekt, alkoholfreie Getränke, Glühwein, Punsch, heiße Schokolade, Finnisches Flammlachs-Baguette mit Meerrettich-Dillsauce. Pulled Christmas Pork Burger mit Senfzwiebeln und Rotkraut, Bratwurst, Fleischkäse, Spätzle mit Gulasch oder Käse, Pilzpfanne, Chilli con Carne, Laugenbrezeln, Crepes, Waffeln, Quarkbällchen, gebrannte Mandeln Feuertonnen. Eisstockschießen, Hau den Lukas, XXL Jenga, 4 Gewinnt XXL & Baumstammnageln. Perfekt für Weihnachtsfeiern mit den Kollegen! Tickets nur per Vorverkauf über unsere Webseite - keine Abendkasse. Nicht vollständig barrierefrei","All-inclusive Christmas market – all food and drinks are included in the admission price. Exclusive Christmas market visit with a unique view of the Oberbaum Bridge. Beer, wine, sparkling wine, non-alcoholic beverages, mulled wine, punch, hot chocolate, Finnish flamed salmon baguette with horseradish and dill sauce. Pulled Christmas pork burger with mustard onions and red cabbage, bratwurst, meatloaf, spaetzle with goulash or cheese, mushroom pan, chili con carne, pretzels, crepes, waffles, quark balls, roasted almonds, fire barrels. Curling, high striker, XXL Jenga, Connect 4 XXL & log nailing. Perfect for Christmas parties with colleagues! Tickets only available in advance via our website – no box office. Not fully accessible.",52.5007,13.4489,0,0,0,0,1,1,S+U Warschauer Str.,Weihnachten_anDerSpree.jpg,"Reederei Riedel, CC Attribution 4.0"
43,Umwelt- und Weihnachtsmarkt in der Sophienstraße,Umwelt- und Weihnachtsmarkt in der Sophienstraße,Sophienstraße,Mitte,10178 Berlin,"29.11.25","21.12.25","Samstags: 12:00 - 20:00 Uhr 
Sonntags: 11:00 - 19:00 Uhr",0,0,0,0,0,12:00 - 20:00,11:00 - 19:00,0,0,https://www.weihnachtsmarkt-sophienstrasse.de,"Direkt neben den Hackeschen Höfen in einer der ältesten Straßen von Berlin, erwartet Sie ein außergewöhnliches Angebot an einzigartiger Designer- und Künstlerware. Das einmalige Konzept wurde bereits 1996 mit dem 1. Preis des Umweltwettbewerbs honoriert und hebt sich von den anderen Weihnachtsmärkten der Stadt wohltuend ab. Von trendig-hippem Berliner Design- und Kunsthandwerk über Naturwaren höchster Bio-Güte bis hin zu den verschiedensten Gegenständen aus fairem Handel. Hier findet jeder Besucher sein individuelles Geschenk! Seit über 20 Jahren in Berlin und über die Stadtgrenzen hinaus bekannt! Hinweis zur Barrierefreiheit: Normales Straßenland.","Right next to Hackesche Höfe in one of Berlin's oldest streets, an extraordinary range of unique designer and artist goods awaits you. The unique concept was awarded first prize in an environmental competition back in 1996 and stands out pleasantly from the city's other Christmas markets. From trendy, hip Berlin design and handicrafts to natural products of the highest organic quality and a wide variety of fair trade items. Every visitor will find their own individual gift here! Known in Berlin and beyond for over 20 years!",52.525699,13.400763,0,1,1,1,0,1,"S Hackescher Markt, U Weinmeisterstr.",Christmas_market_Sophienstraße_Berlin.jpg,"Leonhard Lenz, CC Zero, Public Domain Dedication"
46,Weihnachten an der Spree -All-Inclusiv-Weihnachtsmarkt,Weihnachten an der Spree -All-Inclusiv-Weihnachtsmarkt,Stralauer Allee 2,Friedrichshain,,17.11.25,31.12.25,10-22 Uhr,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,0,0,https://www.weihnachten-an-der-spree.de/,"Ja, aber teilweise mit Einschränkungen. Bitte beachten Sie, dass sich auf dem Gelände teilweise alte Schienen und Kabelbrücken befinden, die je nach Art der Mobilitätshilfen ein Hindernis darstellen können. Barrierefreie Toiletten stehen im Gebäude des Spreespeichers zur Verfügung. Es wird einen speziellen Eingang geben, der Rollstuhlfahrenden einen barrierefreien Zugang ermöglicht.",,52503,13447,1,0,0,0,0,1,S+U Warschauer Str.,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
49,WEINachtsmarkt am Ludwig-Beck-Platz,WEINachtsmarkt am Ludwig-Beck-Platz,Ludwig-Beck-Platz,Steglitz-Zehlendorf,12203 Berlin,13.12.25,14.12.25,11:00 - 20:00 Uhr,0,0,0,0,0,11:00 - 20:00,11:00 - 20:00,0,0,https://www.family-and-friends-ev.de/,Hinweis zur Barrierefreiheit: von allen Seiten zugänglicher ebenerdiger Platz,ground-level space accessible from all sides,52.443,13.3121,0,1,1,1,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
52,Weihnachten in Westend,Weihnachten in Westend,Preußenallee,Charlottenburg-Wilmersdorf,14052 Berlin,20.12.25,21.12.25,12:00 - 20:00 Uhr,0,0,0,0,0,12:00 - 20:00,12:00 - 20:00,0,0,https://www.family-and-friends-ev.de/,Hinweis zur Barrierefreiheit: Ebenerdige Strasse,Accessibility: leveled road,52.5123,13.2594,0,1,1,1,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
55,Kunsthandwerklicher Adventmarkt am Karl-August-Platz,Kunsthandwerklicher Adventmarkt am Karl-August-Platz,Karl-August-Platz,Charlottenburg-Wilmersdorf,10625 Berlin,30.11.25,30.11.25,11:00 - 18:00 Uhr,0,0,0,0,0,0,11:00 - 18:00,0,0,https://www.family-and-friends-ev.de/,Hinweis zur Barrierefreiheit: ebenerdiger Platz,ground-level space accessible from all sides,52.5083,13.3101,0,1,1,1,0,1,U Wilmersdorfer Str.,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
58,Adventmarkt in der Leonhardtstraße,Adventmarkt in der Leonhardtstraße,Leonhardtstrasse,Charlottenburg-Wilmersdorf,14057 Berlin,07.12.25,07.12.25,11:00 - 20:00 Uhr,0,0,0,0,0,0,11:00 - 20:00,0,0,https://www.family-and-friends-ev.de/,Hinweis zur Barrierefreiheit: findet auf dem Bürgersteig statt,Accessibility: takes place on the sidewalk,52.5053,13.297,0,1,1,1,0,1,S Charlottenburg Bhf,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
61,Historische Weihnacht - Friedrichshain,Historische Weihnacht - Friedrichshain,Revaler Straße 99  | Eingang Höhe Dirschauer Straße,Friedrichshain,10245 Berlin,13.11.25,22.12.25,"Montag bis Donnerstag: 15:00 - 22:00 Uhr
Freitag: 15:00 - 23:00 Uhr
Samstag: 12:00 - 23:00 Uhr
Sonntag: 12:00 - 22:00 Uhr",15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 23:00,12:00 - 23:00,12:00 - 22:00,0,0,https://www.carnica-spectaculi.de,"Kitschige Plastikweihnachtsmänner sind hier Fehlanzeige, stattdessen präsentieren und verkaufen Töpfer, Schmiede, Holzschnitzer und viele mehr ihr Handwerk. Besucher können sich an den Tavernen mit so manch edlem Tröpfchen, wie heißem Met, Glühwein, Glühbier und Feuerzangenbowle das Gemüt erwärmen und mit deftigen und süßen Speisen den Gaumen verwöhnen. Bei historischer Musik bringen Gaukler und Akrobaten mit ihren Feuershows das Publikum zum Staunen. Auch für die Unterhaltung der Kleinen ist gesorgt. Besonders schön & einzigartig für Kinder ist das handbetriebene Holzkarussell und Holzriesenrad. Beim Bogenschießen und Armbrustschießen können kleine & große Ritter und Prinzessinnen ihr Geschick beweisen. Die historische Weihnacht in Berlin Friedrichshain wird somit in der Vorweihnachtszeit zu einem einzigartigen Erlebnis für die ganze Familie.","There are no tacky plastic Santa Clauses here; instead, potters, blacksmiths, woodcarvers, and many others present and sell their crafts. Visitors can warm themselves up at the taverns with fine drinks such as hot mead, mulled wine, mulled beer, and Feuerzangenbowle (a type of mulled wine punch), and treat their taste buds to hearty and sweet dishes. Accompanied by historical music, jugglers and acrobats amaze the audience with their fire shows. Entertainment for the little ones is also provided. The hand-operated wooden carousel and wooden Ferris wheel are particularly beautiful and unique for children. Young and old knights and princesses alike can prove their skills at archery and crossbow shooting. The historic Christmas in Berlin Friedrichshain is thus a unique experience for the whole family in the run-up to Christmas.",52.5082,13.4528,0,0,1,0,1,1,S+U Warschauer Str.,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
64,A very British Christmas - Your eco-friendly Christmas Fair,A very British Christmas - Your eco-friendly Christmas Fair,Preussenallee 17-19,Charlottenburg-Wilmersdorf,14052 Berlin,06.12.25,06.12.25,14:00-17:30 Uhr,0,0,0,0,0,14:00 - 17:30,0,0,0,https://www.stgeorgesberlin.de/,"Unter dem Motto ""A Very British Christmas - your eco-friendly Christmas market"" laden wir zum stimmungsvollen Adventsnachmittag mit englischem Weihnachtsgebäck, englischem Glühwein, Dudelsackklängen und englischen Weihnachtsliedern ein.","Under the motto “A Very British Christmas – your eco-friendly Christmas market,” we invite you to enjoy a festive Advent afternoon with English Christmas cookies, English mulled wine, bagpipe music, and English Christmas carols.",52.513,13.259,0,1,1,1,0,1,U Neu-Westend,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
67,Weihnachtsmarkt im Paul Gerhardt Stift zu Berlin,Weihnachtsmarkt im Paul Gerhardt Stift zu Berlin,Müllerstraße 56 - 58,Wedding,13349 Berlin,07.12.25,07.12.25,14:00 - 18:00 Uhr,0,0,0,0,0,0,14:00 - 18:00,0,0,https://www.paulgerhardtstift.de,,,52.555,13.346,0,1,0,0,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
70,Lichtenrader Lichtermarkt und 650 Jahre Lichtenrade,Lichtenrader Lichtermarkt und 650 Jahre Lichtenrade,Alt-Lichtenrade,Tempelhof-Schöneberg,12309 Berlin,30.11.25,30.11.25,13:00 - 19:00 Uhr,0,0,0,0,0,0,13:00 - 19:00,0,0,https://www.berlin.de/ba-ts/lichtenrader-lichtermarkt,,,52.3906,13.4113,0,1,0,0,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
73,Prenzlauer Weihnachtsmarkt,Prenzlauer Weihnachtsmarkt,Marktberg,Brandenburg,17291 Berlin,29.11.25,14.12.25,"Montag bis Freitag: 10:00 - 20:00 Uhr
Samstag: 10:00 - 22:00 Uhr
Sonntag: 12:00 - 18:00 Uhr",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 22:00,12:00 - 18:00,0,0,https://www.prenzlau.eu,"Unter dem Motto ""A Very British Christmas - your eco-friendly Christmas market"" laden wir zum stimmungsvollen Adventsnachmittag mit englischem Weihnachtsgebäck, englischem Glühwein, Dudelsackklängen und englischen Weihnachtsliedern ein.","Under the motto “A Very British Christmas – your eco-friendly Christmas market,” we invite you to enjoy a festive Advent afternoon with English Christmas cookies, English mulled wine, bagpipe music, and English Christmas carols.",53.3132,13.8575,0,1,0,1,0,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
76,Winterquartier,Winterquartier,Napoleon Komplex  | Modersohnstraße 35–45,Mitte,10245 Berlin,28.11.25,31.03.26,"Weihnachtsmarkt:  Montag: 15:00 - 22:00 Uhr  | Dienstag: 15:00 - 22:00 Uhr | Mittwoch: 15:00 - 22:00 Uhr  | Donnerstag: 15:00 - 22:00 Uhr  | Freitag:  15:00 - 23:00 Uhr  | Samstag: 12:00 - 23:00 Uhr  | Sonntag: 12:00 - 22:00 Uhr

Eisbahn: Montag: 12:00 - 20:00 Uhr  | Dienstag: 12:00 - 20:00 Uhr  | Mittwoch: 12:00 - 20:00 Uhr  | Donnerstag: 12:00 - 22:00 Uhr  | Freitag: 12:00 - 24:00 Uhr  | Samstag: 10:00 - 24:00 Uhr  | Sonntag: 10:00 - 22:00 Uhr  ",15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 23:00,12:00 - 23:00,12:00 - 22:00,0,0,https://www.winterquartier-berlin.de/,,,52.503,13.458,0,0,0,1,1,0,,placeholder.png,"freestocks.org, CC BY-SA 4.0 via Wikimedia Commons"
