id;bezirk;name;strasse;plz_ort;von;bis;veranstalter;oeffnungszeiten;email;www;barrierefreiheit;bemerkungen
88;Brandenburg;Adventsmarkt Hermannswerder;Hermannswerder 22;14473.0;07.12.2025;07.12.2025;Hoffbauer-Stiftung;14:00 - 18:00 Uhr;heidrun.spengler@hoffbauer-stiftung.de;https://www.hoffbauer-stiftung.de/veranstaltungen/event/adventsmarkt-auf-hermannswerder;Ja;Der Markt findet im Freien statt, die Wiese kann Unebenheiten aufweisen. Barrierefreie Toiletten befinden sich im Hoffbauer Tagungshaus.
67;Wedding;Weihnachtsmarkt im Paul Gerhardt Stift zu Berlin;Müllerstraße 56 - 58;13349.0;07.12.2025;;Paul Gerhardt Stift zu Berlin;14:00 - 18:00 Uhr;veranstaltung@paulgerhardtstift.de;https://www.paulgerhardtstift.de;Ja;
130;Brandenburg;Weihnachtsmarkt Königs Wusterhausen;Kirchplatz;15711.0;12.12.2025;14.12.2012;Hauptstadt Kultur;Freitag 14.00 - 22.00 Uhr  | Samstag 12.00 - 22.00 Uhr  | Sonntag 12.00 - 20.00 Uhr;guenther@juettner-entertainment.de;https://www.hauptstadtkultur.berlin;ja;Weihnachtsmarkt Königs Wusterhausen. Vom 12. bis 14. Dezember 2025 lädt der Kirchplatz zu einem Weihnachtsmarkt der besonderen Art ein. Mit festlicher Beleuchtung erstrahlt der Platz an diesem Wochenende in einem stimmungsvollen Lichtermeer und lockt mit einem vielfältigen Bühnenprogramm sowie besonderen kulinarischen und handwerklichen Schätzen. Dazu gibt es ein Kinderkarussell und viele weitere Überraschungen für die Kleinsten. Der Eintritt ist frei.
61;Friedrichshain;Historische Weihnacht - Friedrichshain;Revaler Straße 99  | Eingang Höhe Dirschauer Straße;10245.0;13.11.2025;22.12.2025;Carnica-Veranstaltungen GmbH;Montag bis Donnerstag: 15:00 - 22:00 Uhr  | Freitag: 15:00 - 23:00 Uhr  | Samstag: 12:00 - 23:00 Uhr  | Sonntag: 12:00 - 22:00 Uhr;tickets@carnica.de;https://www.carnica-spectaculi.de;Nein;Kitschige Plastikweihnachtsmänner sind hier Fehlanzeige, stattdessen präsentieren und verkaufen Töpfer, Schmiede, Holzschnitzer und viele mehr ihr Handwerk. Besucher können sich an den Tavernen mit so manch edlem Tröpfchen, wie heißem Met, Glühwein, Glühbier und Feuerzangenbowle das Gemüt erwärmen und mit deftigen und süßen Speisen den Gaumen verwöhnen. Bei historischer Musik bringen Gaukler und Akrobaten mit ihren Feuershows das Publikum zum Staunen. Auch für die Unterhaltung der Kleinen ist gesorgt. Besonders schön & einzigartig für Kinder ist das handbetriebene Holzkarussell und Holzriesenrad. Beim Bogenschießen und Armbrustschießen können kleine & große Ritter und Prinzessinnen ihr Geschick beweisen. Die historische Weihnacht in Berlin Friedrichshain wird somit in der Vorweihnachtszeit zu einem einzigartigen Erlebnis für die ganze Familie.
94;Mitte;Romantischer Weihnachtsmarkt;Haus der Lebenshilfe, Dohnagestell 10;13351.0;13.12.2025;;Lebenshilfe gGmbH;13:00 - 18:00 Uhr;hausderlebenshilfe@lebenshilfe-berlin.de;https://www.lebenshilfe-berlin.de;Ja;Es ist ein besonderer Samstag in der Advents·zeit. Im Haus der Lebenshilfe und draußen im Garten. Für Groß und Klein im Weddinger Kiez. An Markt·ständen gibt es:Schöne Geschenk·ideen mit Liebe gemacht. Selbst·gebasteltes und Selbst·gemachtes. Kunst·handwerk und vieles mehr. Heiße Waffeln, Crêpes, Plätzchen und Kuchen. Kinder·punsch, Kakao und Glühwein. Bratwurst vom Grill, Grünkohl und andere Leckereien. Mit Musik vom Leierkasten·mann und Besuch vom Weihnachts·paar. Ab 16 Uhr tritt der Chor der Nogat-Singers auf.
49;Steglitz-Zehlendorf;WEINachtsmarkt am Ludwig-Beck-Platz;Ludwig-Beck-Platz;12203.0;13.12.2025;14.12.2025;Family & Friends e. V.;11-20 Uhr;stadtkultur@family-and-friends-ev.de;https://www.family-and-friends-ev.de/;Ja;von allen Seiten zugänglicher ebenerdiger Platz
16;Neukölln;Weihnachtsmarkt auf der Dicken Linda;Kranoldplatz;12051.0;13.12.2025;;diemarktplaner Nikolaus FInk;10-18 Uhr;info@diemarktplaner.de;https://www.diemarktplaner.de;Ja;Der Markt befindet sich auf einem ebenerdigen Platz. Auf dem Neuköllner Kranoldplatz findet das achte Jahr in Folge am 2. Advents-Samstag eine weihnachtliche Marktausgabe statt, 10 bis 18 Uhr. An allen anderen Samstagen im Jahr ist hier von 10 bis 16 Uhr der Wochenmarkt DIE DICKE LINDA zu finden, der ebenfalls von diemarktplaner organisiert wird.
91;Steglitz-Zehlendorf;Weihnacht to go im Kranoldkiez;Kranoldplatz und Umgebung in Lichterfelde-Ost;12209.0;13.12.2025;;Mein LiLa - Lichterfelde/Lankwitz e.V.;14:00 - 19:00 Uhr;jutta.goedicke@meinlila.de;https://www.meinlila.de;Ja;Der Weihnachtsmarkt findet auf öffentlichem Straßenglände in Lichterfelde-Ost statt
40;Friedrichshain;Weihnachten an der Spree;Stralauer Allee 2;10245.0;17.11.2025;31.12.2025;Spreespeicher Event GmbH;17-22 Uhr;support@weihnachten-an-der-spree.de;https://www.weihnachten-an-der-spree.de/;Nein;All Inklusive Weihnachtsmarkt - alle Speisen / Getränke sind im Eintrittspreis enthalten. Exklusiver Weihnachtsmarktbesuch mit einzigartigem Blick auf die Oberbaumbrücke. Bier, Wein, Sekt, alkoholfreie Getränke, Glühwein, Punsch, heiße Schokolade, Finnisches Flammlachs-Baguette mit Meerrettich-Dillsauce. Pulled Christmas Pork Burger mit Senfzwiebeln und Rotkraut, Bratwurst, Fleischkäse, Spätzle mit Gulasch oder Käse, Pilzpfanne, Chilli con Carne, Laugenbrezeln, Crepes, Waffeln, Quarkbällchen, gebrannte Mandeln Feuertonnen. Eisstockschießen, Hau den Lukas, XXL Jenga, 4 Gewinnt XXL & Baumstammnageln. Perfekt für Weihnachtsfeiern mit den Kollegen! Tickets nur per Vorverkauf über unsere Webseite - keine Abendkasse. Nicht vollständig barrierefrei
46;Friedrichshain;Weihnachten an der Spree -All-Inclusiv-Weihnachtsmarkt;Stralauer Allee 2;10245.0;17.11.2025;31.12.2025;Spreespeicher Event GmbH;10-22 Uhr;marketing@faro-gruppe.de;https://www.weihnachten-an-der-spree.de/;Ja;Ja, aber teilweise mit Einschränkungen. Bitte beachten Sie, dass sich auf dem Gelände teilweise alte Schienen und Kabelbrücken befinden, die je nach Art der Mobilitätshilfen ein Hindernis darstellen können. Barrierefreie Toiletten stehen im Gebäude des Spreespeichers zur Verfügung. Es wird einen speziellen Eingang geben, der Rollstuhlfahrenden einen barrierefreien Zugang ermöglicht.
31;Treptow-Köpenick;Weihnachtsmarkt Bölschestraße;Bölschestraße;12587.0;19.12.2025;21.12.2025;Hauptstadt Kultur;Freitag, 19.12.2025: 14:00 - 22:00 Uhr  | Samstag, 20.12.2025: 12:00 - 22:00 Uhr  | Sonntag, 21.12.2025: 12:00 - 20:00 Uhr;info@juettner-entertainment.de;https://www.hauptstadtkultur.berlin/weihnachtsmarkt-bolschestrase-1/;Ja;Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert. Der Weihnachtsmarkt an der Bölschestraße hat sich in den vergangenen Jahren als fester Bestandteil der Friedrichshagener Weihnacht etabliert. Eingebettet in die gemütliche Atmosphäre des Kiezes, lockt der Markt mit Ständen, die eine Vielfalt an handgemachten Geschenken, Kunsthandwerk und kulinarischen Klassikern wie Glühweintreff und gebrannten Mandeln bieten. Für die kleinen Gäste . sorgen Fahr- und Spielgeschäfte für Abwechslung und Unterhaltung bei jedem Wetter. Erleben Sie den Weihnachtsmarkt Bölschestraße – hier trifft Berliner Weihnachtskultur auf den Charme eines lebendigen Kiezes! Der Eintritt ist frei!!
52;Charlottenburg-Wilmersdorf;Weihnachten in Westend;Preußenallee;14052.0;20.12.2025;21.12.2025;Family & Friends e. V.;12-20 Uhr;stadtkultur@family-and-friends-ev.de;https://www.family-and-friends-ev.de/;Ja;Ebenerdige Strasse
34;Neukölln;Rudower Weihnachtsmeile;Alt Rudow & Krokusstraße;12357.0;20.12.2025;21.12.2025;Hauptstadt Kultur;Samstag, 20.12.2025: 12:00 - 22:00 Uhr  | Sonntag, 21.12.2025: 12:00 - 20:00 Uhr;info@juettner-entertainment.de;https://www.hauptstadtkultur.berlin/rudower-weihnachtsmeile-1/;Ja;Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert. Die AG Rudow lädt zur traditionellen Rudower Weihnachtsmeile ein. Am 21. und 22. Dezember verwandeln sich die Straßen Alt Rudow und Krokusstraße in ein stimmungsvolles Weihnachtsdorf voller Musik, Unterhaltung und kulinarischer Highlights. Besucherinnen und Besucher können sich auf eine Vielzahl an Programmpunkten freuen, die für die perfekte Einstimmung auf die Feiertage sorgen. Die Rudower Weihnachtsmeile bietet an beiden Tagen ein vielseitiges Bühnenprogramm, das Jung und Alt gleichermaßen begeistert. Neben liebevoll dekorierten Ständen, die alles von handgefertigtem Kunsthandwerk bis zu weihnachtlichen Spezialitäten bieten, finden sich zahlreiche Attraktionen für Groß und Klein. Wärmender Glühwein und süße Köstlichkeiten wie gebrannte Mandeln, frische Waffeln und knackige Bratwürste sorgen für das leibliche Wohl. Ein nostalgisches Karussell und weitere Spielgeschäfte bieten Abwechslung und Spaß für die jüngsten Gäste. Der traditionelle Glühwein-Treff ist der perfekte Ort für Familien, Freunde und Nachbarn, die die Weihnachtszeit gemeinsam genießen möchten. Der Eintritt ist frei!!
133;Neukölln;Lichterfest Rudow;Alte Dorfschule Rudow, Alt-Rudow 60;12355.0;24.11.2025;;;16.00 - 21.00 Uhr;guenther@juettner-entertainment.de;https://www.hauptstadtkultur.berlin;Ja;Berlin-Rudow lädt am 24. November 2025 herzlich zum „Lichterfest Rudow“ ein! Genießen Sie den Zauber der Weihnachtszeit auf dem festlich beleuchteten Hof der Alten Dorfschule Rudow. Diese junge Tradition wird von der AG Rudow ins Leben gerufen und sorgt für einen großartigen Auftakt in die Weihnachtssaison – mit kostenfreiem Eintritt! Die Besucher erwartet ein stimmungsvoll geschmückter Hof, der die Vorfreude auf die Weihnachtszeit lebendig werden lässt. Inmitten des charmanten Alt-Rudow bietet das Fest ein abwechslungsreiches Programm, das keine Wünsche offen lässt.
121;Brandenburg;Potsdamer Weihnachtszauber;Luisenplatz;14471.0;24.11.2025;28.12.2025;Hauptstadt Kultur;Montag – Donnerstag, Sonntag: 11 bis 21 Uhr  | Freitag – Samstag: 11 bis 22 Uhr  | 25./26. Dezember: 11 bis 18 Uhr;guenther@juettner-entertainment.de;https://www.hauptstadtkultur.berlin;ja;Potsdamer Weihnachtszauber
124;Tempelhof-Schöneberg;Weihnachtsmarkt Tempelhofer Hafen;Tempelhofer Hafen, Berlin, Tempelhofer Damm 227;12099.0;24.11.2025;30.12.2025;Hauptstadt Kultur;Mo.-Sa. 11.00-21.00 Uhr  | So. 13.00-19.00 Uhr  | 24.-26.12.24 geschlossen;guenther@juettner-entertainment.de;https://www.hauptstadtkultur.berlin;nein;Nur teilweise. Weihnachtsmarkt Tempelhofer Hafen Leckereien, Live Musik am Wochenende, Kinderkarussell - Eintritt frei. Dieses wird es ab Mitte Dezember zusätzlich ein großes Riesenrad im Hafen geben! Lasst euch überraschen! |  24.11.-30.12.25 Mo.-Sa. 11-21 Uhr / So. 13-19 Uhr (24.-26.12.24 geschlossen)
1;Charlottenburg-Wilmersdorf;Weihnachtsmarkt Fußgängerzone Wilmersdorfer Strasse;Fußgängerzone, Willmersdorferstraße;10627.0;24.11.2025;27.12.2025;Lauenburger Veranstaltungen;Mo - Sa 11:00 bis 20:00 Uhr  | So 12:00 bis 19:00 Uhr  | Heiligabend 10:00 bis 14:00 Uhr  | Am 25. Dezember und 26.12.2025 bleibt der Markt geschlossen!;lauenburger-pony@gmx.de;;Ja;25 Jahre Jubiläum - Weihnachtsmarkt in Berlins größter Fußgängerzone mit tollen Attraktionen! Weihnachtsbaum mit über 25.000 Lichtern Lichterglanz und Weihnachtszauber in der gesamten Fußgängerzone
10;Tempelhof-Schöneberg;Weihnachtsmarkt Berlin by »der Weinlobbyist«;Kolonnenstr. 62;10827.0;24.11.2025;31.12.2025;der Weinlobbyist;Mo-So  | 15-22 Uhr;kontakt@weinlobbyist.de;https://www.derweinlobbyist.de/weihnachtsmarkt-berlin-2025;Ja, stufenlos;Auch zwischen den Jahren geöffnet.
13;Spandau;Weihnachtsmarkt am Schloss Charottenburg;Spandauer Damm 20;14059.0;24.11.2025;28.12.2025;Jens Schmidt GmbH;Mo-Do  | 13-22 Uhr  | Fr-So  | 12-22 Uhr  | 1. und 2. Feiertag  | 12-22 Uhr  | 24.12.2025 geschlossen;marktleitung@schloss-weihnachtsmarkt.de;https://www.schloss-weihnachtsmarkt.de;Ja;Instagram: schloss_weihnachtsmarkt  | Facebook: Weihnachtsmarkt am Schloss Charlottenburg
22;Brandenburg;Potsdamer Weihnachten;Luisenplatz, Vorplatz Brandenburger Tor, Brandenburger Straße, Bassinplatz Nord und Süd;14467.0;24.11.2025;28.12.2025;Hauptstadt Kultur;So-Do  | 11-21 Uhr  | Fr-Sa  | 11-22 Uhr  | 24.12.: geschlossen  | 25.-26.12.: 11-18 uhr;info@juettner-entertainment.de;https://www.hauptstadtkultur.berlin/potsdamer-weihnachten/;Ja;Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert, und es gibt niedrigere Stehtische für Rollstuhlnutzer*innen. In einem einmaligen Ambiente lädt der Potsdamer Weihnachtsmarkt seine Gäste dazu ein, die vorweihnachtliche Zeit in einer historischen Kulisse zu erleben. Ob weihnachtliche Genüsse, Kunsthandwerker, Eisbahn, Riesenrad, 2 Bühnen oder der Weihnachtsbummel in der Brandenburger Straße mit seinen vielseitigen Geschäften, hier gibt es einiges zu erleben.
25;Tempelhof-Schöneberg;Weihnachtsmarkt am Tempelhofer Hafen;Hafen Tempelhof;12099.0;24.11.2025;30.12.2025;Hauptstadt Kultur;Mo-Sa  | 11-21 Uhr  | So 13-19 Uhr  | 24.-26.12.2025: geschlossen;info@juettner-entertainment.de;https://www.hauptstadtkultur.berlin/weihnachtsmarkt-tempelhofer-hafen/;Ja;Es stehen barrierefreie WCs zur Verfügung und Kabel und Schläuche werden mit Überfahrbrücken gesichert. Leckereien, Live Musik am Wochenende, Kinderkarussell - Eintritt frei.
28;Tegel;Weihnachtsmarkt Hallen am Borsigturm;An den Hallen am Borsigturm;13507.0;24.11.2025;30.12.2025;Hauptstadt Kultur;Mo-Sa  | 11-21 Uhr  | So 13-19 Uhr  | 24.-26.12.2025: geschlossen;info@juettner-entertainment.de;https://www.hauptstadtkultur.berlin/weihnachtsmarkt-hallen-am-borsigturm-1/;Ja;Es stehen barrierefreie WCs zur Verfügung, Kabel und Schläuche werden mit Überfahrbrücken gesichert. Ob zum Ausklang eines Weihnachtseinkaufs in den Borsighallen oder als entspannter Familienausflug am Wochenende – dieser Weihnachtsmarkt bietet zahlreiche Gelegenheiten für besondere Momente und vereint besinnliche Feststimmung, Live-Musik und das ideale Ambiente für einen gelungenen Weihnachtseinkauf. Genießen Sie die festliche Atmosphäre, die musikalischen Höhepunkte und die Nähe zum Shopping – ein rundum stimmungsvolles Erlebnis im Herzen Berlins. Erleben Sie alles, was das Herz zur Adventszeit begehrt: liebevoll geschmückte Stände mit süßen und herzhaften Köstlichkeiten, die perfekt zur winterlichen Jahreszeit passen. Besonders die kleinen Gäste kommen hier auf ihre Kosten – das große Kinderkarussell lässt Kinderaugen leuchten und macht den Besuch für Familien zu einem besonderen Erlebnis. Der Markt ist Montags bis Samstags von 11 bis 21 Uhr und Sonntags von 13 bis 19 Uhr geöffnet, mit einer kurzen Pause an den Feiertagen vom 24. bis 26. Dezember.
127;Marzahn-Hellersdorf;Weihnachtsrummel Helle-Mitte;Alice-Salomon-Platz;12627.0;26.11.2025;30.12.2025;Hauptstadt Kultur;11.00-21.00 Uhr  | 24.12. geschlossen;guenther@juettner-entertainment.de;https://www.hauptstadtkultur.berlin;ja;Der Berliner Weihnachtsrummel 2025 am Alice-Salomon-Platz. Der Weihnachtsrummel am Alice-Salomon-Platz lädt vom 26. November bis zum 28. Dezember 2025 zu einem unvergesslichen Erlebnis ein. Täglich von 11 bis 21 Uhr können Besucher die festliche Stimmung genießen – und das bei freiem Eintritt
76;Mitte;Winterquartier;Napoleon Komplex  | Modersohnstraße 35–45;10245.0;28.11.2025;31.03.2026;Strandbad Wendenschloss GmbH;Weihnachtsmarkt  | Montag: 15 - 22 Uhr  | Dienstag: 15 - 22 Uhr | Mittwoch: 15 - 22 Uhr  | Donnerstag: 15 - 22 Uhr  | Freitag:  15 - 23 Uhr  | Samstag: 12 - 23 Uhr  | Sonntag: 12 - 22 Uhr  | Eisbahn  | Montag: 12 - 20 Uhr  | Dienstag: 12 - 20 Uhr  | Mittwoch: 12 - 20 Uhr  | Donnerstag: 12 - 22 Uhr  | Freitag: 12 - 24 Uhr  | Samstag: 10 - 24 Uhr  | Sonntag: 10 - 22 Uhr  | Eisdisco und Eisstockschießen siehe Webseite.;info@winterquartier-berlin.de;https://www.winterquartier-berlin.de/;Ja;
115;Charlottenburg-Wilmersdorf;Schwedischer Weihnachtsbasar;Landhausstr.26-28;10717.0;28.11.2025;30.11.2025;Schwedische Victoriagemeinde e.V.;Freitag den 28.11. zwischen 16-20 Uhr  | Samstag den 29.11. zwischen 12-19 Uhr  | Sonntag den 30.11. zwischen 12-18 Uhr;berlin@svenskakyrkan.se;https://www.svenskakyrkan.se/berlin/nyheter/weihnachtsbasar-der-schwedische-kirche;ja;Bitte beim Eingang melden, dass man den Fahrstuhl benutzen möchte. Dann wird man ca 30 m zur nächsten Eingang begleitet, wo es einen Fahrstuhl gibt. Der ganze Markt ist ebenerdig, mit Wegen oder Rasen. Herzlich willkommen zum Weihnachtsbasar der schwedischen Kirche!  Bei uns gibt es Kunsthandwerk, Weihnachtsdecken und Weihnachtsschmuck, Lebensmittel aus Schweden. Cafeteria, Imbisse. Die Lichtkönigin Lucia  singt mit ihrem Chor am Samstag- und Sonntagnachmittag. Eintritt 2 Euro. (Kinder bis 12 Jahre frei.) Der ganzen Markt findet wie im Vorjahr ausschließlich draußen statt. Hunde sind leider nicht erlaubt.
43;Mitte;Umwelt- und Weihnachtsmarkt in der Sophienstraße;Sophienstraße;10178.0;29.11.2025  | 06.12.2025  | 13.12.2025  | 20.12.2025;30.11.2025  | 07.12.2025  | 14.12.2025  | 21.12.2025;EVENTS-R.Bielefeldt;Samstags: 12-20 Uhr  | Sonntags: 11-19 Uhr;post@weihnachtsmarkt-sophienstrasse.de;https://www.weihnachtsmarkt-sophienstrasse.de;Ja;Normales Straßenland. Direkt neben den Hackeschen Höfen in einer der ältesten Straßen von Berlin, erwartet Sie ein außergewöhnliches Angebot an einzigartiger Designer- und Künstlerware. Das einmalige Konzept wurde bereits 1996 mit dem 1.Preis des Umweltwettbewerbs honoriert und hebt sich von den anderen Weihnachtsmärkten der Stadt wohltuend ab. Von trendig-hippem Berliner Design- und Kunsthandwerk über Naturwaren höchster Bio-Güte bis hin zu den verschiedensten Gegenständen aus fairem Handel. Hier findet jeder Besucher sein individuelles Geschenk! Seit über 20 Jahren in Berlin und über die Stadtgrenzen hinaus bekannt!
4;Neukölln;Alt-Buckower Adventsmarkt;Alt-Buckow 36-38;12349.0;29.11.2025;;Ev. Kirchengemeinde Berlin-Alt-Buckow;14-22 Uhr;buero@dorfkirche-alt-buckow.de;https://www.dorfkirche-alt-buckow.de;Ja;Der Außen- und Innenbereich, sowie die Toiletten sind Barrierefrei.
